id,Percentage of Population,State,State (Abbrev),Sample Size,Low Confidence Limit,High Confidence Limit
0,31.4,National,USA,"374,073",31.1,31.6
1,36.1,Alabama,AL,"6,521",34.6,37.7
2,30.5,Alaska,AK,"2,729",27.8,33.4
3,31.4,Arizona,AZ,"8,183",29.7,33.2
4,37.4,Arkansas,AR,"4,922",35.5,39.4
5,26.2,California,CA,"10,546",25.1,27.2
6,23.8,Colorado,CO,"8,644",22.7,24.9
7,29.1,Connecticut,CT,"8,259",27.8,30.5
8,34.4,Delaware,DE,"3,401",32.1,36.6
9,23.8,District of Columbia,DC,"2,367",21.7,25.9
10,27,Florida,FL,"15,091",25.6,28.5
11,33.1,Georgia,GA,"6,470",31.3,35
12,25,Hawaii,HI,"7,341",23.7,26.3
13,29.5,Idaho,ID,"4,925",27.6,31.4
14,31.6,Illinois,IL,"5,188",30.1,33.1
15,35.3,Indiana,IN,"8,017",34,36.7
16,33.9,Iowa,IA,"8,938",32.8,35.1
17,35.2,Kansas,KS,"10,294",34.1,36.4
18,36.5,Kentucky,KY,"7,468",34.7,38.2
19,35.9,Louisiana,LA,"4,298",34.1,37.7
20,31.7,Maine,ME,"10,455",30.3,33.1
21,32.3,Maryland,MD,"15,864",31.1,33.4
22,25.2,Massachusetts,MA,"6,787",23.9,26.5
23,36,Michigan,MI,"9,857",34.7,37.3
24,30.1,Minnesota,MN,"14,139",29.2,31.1
25,40.8,Mississippi,MS,"4,737",39,42.7
26,34.8,Missouri,MO,"6,726",33.2,36.4
27,28.3,Montana,MT,"6,043",27,29.7
28,34.1,Nebraska,NE,"14,710",33,35.2
29,30.6,Nevada,NV,"2,580",28.2,33.1
30,31.8,New Hampshire,NH,"5,220",30,33.6
31,31.7,New Mexico,NM,"5,558",30,33.5
32,27.1,New York,NY,"12,631",26,28.2
33,34,North Carolina,NC,"3,871",32.2,35.8
34,34.8,North Dakota,ND,"5,174",33,36.7
35,34.8,Ohio,OH,"12,385",33.5,36.1
36,36.8,Oklahoma,OK,"5,748",35.2,38.4
37,29,Oregon,OR,"5,548",27.5,30.4
38,33.2,Pennsylvania,PA,"6,138",31.7,34.7
39,30,Rhode Island,RI,"5,464",28.2,31.9
40,35.4,South Carolina,SC,"6,627",33.8,36.9
41,33,South Dakota,SD,"6,166",30.6,35.5
42,36.5,Tennessee,TN,"5,673",34.8,38.3
43,34,Texas,TX,"11,082",32.2,35.7
44,29.2,Utah,UT,"10,846",28.2,30.3
45,26.6,Vermont,VT,"5,864",25,28.3
46,31.9,Virginia,VA,"9,034",30.6,33.2
47,28.3,Washington,WA,"11,676",27.3,29.4
48,39.7,West Virginia,WV,"4,988",38,41.5
49,34.2,Wisconsin,WI,"4,574",32.4,36.1
50,29.7,Wyoming,WY,"4,306",27.7,31.7
51,33.6,Guam,GU,"2,276",30.5,37
52,32.5,Puerto Rico,PR,"5,716",31,34
